HMD,TMP,PRS,MVT,IND,NH3,CO2,DST
29.06,37.69,1011.55,0.0,66.69,397.0,427.0,0.0
29.26,37.65,1011.57,0.0,67.1,397.0,430.0,0.0
25.5,37.52,1011.55,0.0,67.48,386.0,427.0,0.0
29.22,37.7,1011.55,0.0,67.61,396.0,427.0,0.0
32.82,37.8,1011.56,0.0,67.57,393.0,428.0,0.0
28.17,37.72,1011.57,0.0,66.95,396.0,431.0,0.0
28.85,37.76,1011.55,0.0,66.55,390.0,428.0,0.0
28.79,37.7,1011.53,0.0,66.38,388.0,429.0,0.0
27.76,37.89,1011.56,0.0,66.47,390.0,430.0,0.0
28.93,37.92,1011.59,0.0,66.7,388.0,426.0,0.0
28.17,37.81,1011.63,0.0,66.88,389.0,424.0,0.0
31.0,37.83,1011.61,0.0,67.27,394.0,432.0,0.0
30.81,37.8,1011.6,0.0,67.28,389.0,430.0,0.0
28.71,37.81,1011.56,0.0,67.35,395.0,431.0,0.0
28.72,37.85,1011.59,0.0,67.66,387.0,429.0,0.0
30.32,37.81,1011.61,0.0,67.77,397.0,423.0,0.0
28.7,37.94,1011.62,0.0,67.46,394.0,421.0,0.0
28.21,37.89,1011.62,0.0,67.45,387.0,429.0,0.0
28.96,37.83,1011.62,0.0,67.07,390.0,426.0,0.0
29.65,37.89,1011.58,0.0,67.07,396.0,423.0,0.0
31.5,37.89,1011.59,0.0,67.02,386.0,426.0,0.0
28.04,37.96,1011.57,0.0,66.94,396.0,428.0,0.0
28.64,37.92,1011.55,0.0,66.96,389.0,432.0,0.0
28.63,38.01,1011.58,0.0,66.65,391.0,431.0,0.0
30.03,37.9,1011.62,0.0,66.94,391.0,432.0,0.0
26.69,38.03,1011.66,0.0,66.97,384.0,431.0,0.0
26.61,38.03,1011.62,0.0,66.88,394.0,433.0,0.0
29.33,38.16,1011.57,0.0,66.92,394.0,428.0,0.0
29.33,38.09,1011.55,0.0,67.26,395.0,431.0,0.0
26.96,38.09,1011.6,0.0,67.45,392.0,430.0,0.0
27.98,38.05,1011.66,0.0,67.64,388.0,426.0,0.0
27.86,38.12,1011.61,0.0,67.54,390.0,425.0,0.0
27.92,38.05,1011.58,0.0,67.8,393.0,421.0,0.0
28.22,38.1,1011.58,0.0,67.96,394.0,429.0,0.0
28.36,38.12,1011.61,0.0,67.35,396.0,432.0,0.0
30.19,38.16,1011.68,0.0,67.28,390.0,429.0,0.0
27.19,38.1,1011.65,0.0,67.32,388.0,429.0,0.0
27.51,38.01,1011.66,0.07,61.71,390.0,424.0,0.0
27.74,37.94,1011.71,0.0,62.86,394.0,429.0,0.0
28.32,38.1,1011.69,0.0,64.33,396.0,430.0,0.0
28.06,38.14,1011.68,0.0,65.5,394.0,433.0,0.0
27.28,38.2,1011.69,0.0,66.42,394.0,431.0,0.0
28.06,38.12,1011.72,0.0,66.94,391.0,430.0,0.0
25.81,38.12,1011.69,0.0,67.42,385.0,431.0,0.0
28.57,38.09,1011.71,0.0,67.3,385.0,424.0,0.0
28.19,38.2,1011.7,0.0,67.44,385.0,423.0,0.0
28.25,38.2,1011.72,0.0,67.72,383.0,431.0,0.0
29.59,38.21,1011.71,0.0,67.54,392.0,424.0,0.0
26.45,38.3,1011.71,0.0,67.59,390.0,429.0,0.0
27.09,38.2,1011.71,0.0,67.36,393.0,429.0,0.0
28.3,38.29,1011.73,0.0,67.46,382.0,426.0,0.0
28.41,38.23,1011.73,0.0,67.56,386.0,426.0,0.0
28.66,38.29,1011.77,0.0,67.57,387.0,426.0,0.0
32.1,38.3,1011.72,0.0,67.68,381.0,426.0,0.0
27.97,38.34,1011.74,0.0,67.63,387.0,425.0,0.0
28.13,38.27,1011.71,0.0,67.59,391.0,421.0,0.0
28.01,38.32,1011.72,0.0,67.59,381.0,426.0,0.0
27.7,38.27,1011.73,0.0,67.42,391.0,425.0,0.0
27.87,38.45,1011.76,0.0,67.43,390.0,423.0,0.0
26.58,38.45,1011.73,0.0,67.74,390.0,422.0,0.0
